Employee_ID,Department,Years_Experience,Salary,Performance_Score,Remote_Status
101.0,Engineering,5.0,120000.0,85.0,Yes
102.0,Marketing,2.0,65000.0,78.0,No
103.0,Engineering,8.0,145000.0,92.0,Yes
104.0,Sales,1.0,76000.0,65.0,No
105.0,HR,12.0,95000.0,83.2,Yes
106.0,Engineering,3.0,105000.0,88.0,Yes
107.0,Marketing,5.0,80000.0,81.0,No
108.0,Sales,2.0,72000.0,75.0,No
109.0,Engineering,13.375,177000.0,99.0,Yes
110.0,HR,4.0,68000.0,72.0,No
111.0,Engineering,1.0,90000.0,95.0,Yes
112.0,Sales,7.0,110000.0,89.0,Yes
113.0,Marketing,3.0,75000.0,80.0,No
114.0,Engineering,6.0,130000.0,87.0,Yes
115.0,Sales,3.0,78000.0,60.75,No
116.0,Engineering,4.0,115000.0,84.0,Yes
117.0,Marketing,7.0,92000.0,86.0,Yes
118.0,HR,2.0,60000.0,70.0,No
119.0,Sales,5.0,95000.0,82.0,Yes
120.0,Engineering,9.0,155000.0,94.0,Yes
