__sf_row_id,transaction_id,timestamp,account_id,transaction_type,amount,merchant_id,merchant_category,merchant_country,channel,status,currency,fraudulent_score,is_fraud,is_disputed,dispute_amount,velocity_score,distance_from_home,time_since_last_transaction_hours,card_type,card_brand,card_age_months,card_used_before,account_balance_before,account_balance_after,account_credit_limit,customer_age,customer_tenure_years,is_vip,similar_transactions_24h,total_transactions_30d,avg_transaction_amount_30d,latitude,longitude,country_code,ip_address,device_fingerprint,is_new_device,customer_segment,transaction_category_numeric,was_alert_triggered,days_since_account_opening
0,TRX_00000000,2025-07-20 22:09:22.279530,ACC_000007,Payment,351.9491896628563,MERCH_00176,Retail,USA,ATM,Completed,USD,0.0820305182633567,0.0,0.0,0.0,1.555503826931638,125.61513209868512,18.358203320966766,Credit,Mastercard,75.89592300355258,1.0,2127.6881922486623,1907.516454230205,10951.942714509276,20.0,3.230917828559803,0.0,3.0,25.5,302.52903999288327,-59.41473259657225,79.32755275615881,US,133.112.174.27,DEV_000549,0.0,Silver,44.0,0.0,435.0106596344671
1,TRX_00000001,2026-04-14 00:09:22.279613,ACC_000093,Transfer,617.0843790968929,MERCH_00021,Travel,USA,ATM,Completed,USD,0.0950085074463229,0.0,0.0,0.0,4.753822118648116,19.48961884087004,14.472633474985182,Credit,Mastercard,22.26197883506269,1.0,1180.562266356631,759.9011681566985,5016.861892184347,33.0,12.521926998872647,0.0,2.0,13.0,181.3993677041424,-27.241627311759345,-10.120685551060404,US,109.162.213.20,DEV_000265,1.0,Premium,13.0,0.0,301.6995012386008
2,TRX_00000002,2025-10-07 06:09:22.279619,ACC_000038,Transfer,1399.0858421760875,MERCH_00240,Retail,UK,Mobile,Completed,USD,0.0089996902328933,0.0,0.0,0.0,3.165643655417861,41.15238634898767,0.4601886410357308,Credit,Amex,75.89592300355258,0.0,501.066381642336,312.15823725838925,4926.239259427882,49.0,6.52250370220552,0.0,3.0,22.0,52.50222862555785,207.57334466327885,84.62029968901476,US,113.104.148.36,DEV_000717,0.0,Silver,27.0,0.0,331.036109915611
3,TRX_00000003,2025-10-15 13:09:22.279621,ACC_000080,Withdrawal,1399.0858421760875,MERCH_00076,Grocery,USA,Mobile,Completed,GBP,0.068970474106944,0.0,0.0,0.0,18.718818221346446,29.981680472988003,18.358203320966766,Credit,Visa,73.69987079007907,1.0,818.3451375572479,460.5746399524102,2081.0607017726848,43.0,5.1787520826124736,0.0,2.0,11.0,179.6925288351774,-82.42987366785175,-134.98164805372605,DE,167.125.224.46,DEV_000377,1.0,Bronze,18.0,0.0,287.2732879163683
4,TRX_00000004,2025-09-22 22:09:22.279624,ACC_000186,Deposit,417.78155035343696,MERCH_00203,Grocery,USA,Online,Completed,USD,0.0173780341283427,0.0,0.0,0.0,10.216696538780074,18.41112803259472,8.330683056325856,Credit,Mastercard,19.97857388086236,1.0,6226.314507328465,3296.662790945524,12237.717192070351,45.0,9.51638512657655,0.0,2.0,18.0,96.00463898841691,74.66798407544516,109.73419528200264,US,62.234.142.182,DEV_000959,0.0,Gold,79.0,0.0,120.36314975502648
5,TRX_00000005,2025-08-31 19:09:22.279626,ACC_000083,Transfer,89.70905330350011,MERCH_00003,Grocery,USA,Online,Completed,EUR,0.1785277151812456,0.0,0.0,0.0,11.503077379071394,17.91276027800044,6.906229487775367,Credit,Visa,37.34368313334591,inf,1707.0016290296342,1802.96492512504,4087.2417993045296,44.0,9.100548033563395,0.0,2.0,14.0,291.3124893680256,70.5567454088472,109.92387288272393,US,187.145.166.132,DEV_000650,0.0,Bronze,39.0,0.0,200.8033207396956
6,TRX_00000006,2026-04-30 10:09:22.279629,ACC_000087,Withdrawal,795.5813984318688,MERCH_00327,Retail,USA,Online,Completed,USD,0.0102207481992079,0.0,0.0,0.0,3.567417375054273,67.4792773835787,8.283966368006018,Credit,Amex,33.323458611535294,1.0,3668.0826126771726,4328.773083395921,1768.9924969835713,58.0,18.81102764807863,0.0,5.0,8.0,59.09838449315564,37.78734769466715,100.89856191419376,DE,243.244.61.212,DEV_000772,0.0,Bronze,49.0,0.0,179.89107458574384
7,TRX_00000007,2025-11-16 10:09:22.279631,ACC_000241,Payment,1399.0858421760875,MERCH_00447,Online,USA,Online,Completed,USD,0.1785277151812456,0.0,inf,inf,1.638514670663637,41.75890023041439,6.729986915596561,Debit,Visa,4.840991416215546,1.0,1948.6273780348783,2128.2075589789333,3131.511659556502,108.0,7.551439297295902,0.0,1.0,18.0,148.96208123790032,39.785901597265024,17.31452893421104,US,54.161.239.155,DEV_000380,0.0,Gold,42.0,0.0,686.9577392165979
8,TRX_00000008,2025-09-29 10:09:22.279633,ACC_000092,Withdrawal,5.066041775962383,MERCH_00164,Online,Canada,Online,Completed,USD,0.0542149865562335,0.0,0.0,0.0,7.153754556062845,12.169228578987903,2.94909314232568,Credit,Visa,1.850511743000999,inf,1353.2342936187003,1234.983990428125,2992.463092511654,65.0,10.809306335332348,inf,1.0,25.5,367.3978804043808,-75.89227513374168,-166.81098026715756,UK,171.130.163.2,DEV_000540,0.0,Premium,48.0,0.0,181.68117697040552
9,TRX_00000009,2025-06-07 02:09:22.279635,ACC_000085,Charge,57.36731494050524,MERCH_00414,Retail,Australia,Online,Completed,USD,0.0155088319005895,0.0,inf,0.0,2.545408994596926,25.60241463115197,11.330040898448654,Debit,Visa,19.86643717749628,1.0,2740.5648461842816,2888.216516837706,965.7516328861234,65.0,1.0347060283242435,0.0,5.0,11.0,178.06183044565597,207.57334466327885,111.73344586400674,US,109.15.52.54,DEV_000053,0.0,Silver,39.0,0.0,291.27024650228066
